"p1.20160322"	"p1.20160401"	"p3.20160322"	"p3.20160401"	"p3.20160714"	"p3.20160811"	"p4.20160322"	"p4.20160401"	"p4.20160415"	"p4.20160713"	"p4.20160727"	"p5.20160322"	"p5.20160415"	"p5.20160715"	"p5.20160817"	"p6.20160322"	"p6.20160415"	"p6.20160701"	"p6.20160726"	"p7.20160322"	"p7.20160415"	"p7.20160713"	"p7.20160729"	"p8.20160720"	"p8.20160825"
"584"	21	886	712	719	29	233	394	314	283	40	3	4	16	2	2	2	3	17	0	2	4	101	0	149	8
"585"	6	0	25	4	0	12	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3
"586"	21	107	181	138	3	14	53	24	14	8	19	0	0	2	4	2	3	0	0	0	2	7	0	0	2
"587"	5	86	51	24	16	4	10	2	7	5	21	21	2	3	10	7	14	98	41	0	5	66	107	25	36
"588"	4	10	44	23	3	0	36	5	0	8	7	0	5	0	0	0	0	0	0	0	0	0	0	2	0
"589"	43	1390	8447	1447	990	393	288	445	972	1466	878	82143	60692	3306	14107	122584	77822	44501	5837	9156	16154	74085	10475	49136	50841
"590"	3	10	5481	4755	0	7	21	3371	0	3	0	28	2	9	2	0	0	6	0	0	3	0	0	10	2
"591"	4	0	0	0	0	2	2	2	7	6	0	0	0	0	3	2	9	7	0	0	0	0	0	10	3
"592"	8	8	43	6	42	16	34	12	66	3	12	212	241	142	261	84	263	136	48	29	6	200	194	222	129
"593"	7	0	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
"594"	5	8	117	4	5	3	5	20	12	0	2	0	0	0	0	0	0	0	0	0	0	7	0	2	2
"595"	49	490	1186	476	59	113	241	259	181	81	102	27	58	49	119	10	64	2	2	0	8	10	2	85	190
"596"	4	0	0	0	0	0	0	0	0	4	2	4	0	0	0	2	2	18	0	0	2	17	2	2	14
"597"	5	0	8	0	0	97	14	0	9	0	4	102	1599	24	14	46	69	17	13	47	34	9	0	41	19
"598"	8	38	60	13	66	838	37	71	13	46	83	0	2	0	15	0	10	0	8	0	0	2	0	6	4
"599"	4	0	2	4	0	3	2	8	2	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	6
"600"	8	91	60	535	16	27	30	567	353	29	98	48	44	44	92	4	236	6	6	4	6	0	3	27	11
"601"	20	415	438	469	42	72	295	149	133	33	80	0	0	7	13	0	10	2	0	2	0	9	0	0	16
"602"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
"603"	23	36	159	61	20	42	62	49	23	4	19	0	6	5	4	2	0	0	0	0	3	0	0	8	0
"604"	14	0	68	8	62	132	2	5	9	55	75	0	8	20	11	6	22	0	0	0	0	8	4	37	38
"605"	148	419	1437	584	146	194	619	312	214	89	221	34	79	28	22	6	20	20	12	10	14	32	6	24	20
"606"	5	64	4	29	57	160	33	42	27	33	27	5	0	2	4	0	2	3	0	0	0	0	2	4	10
"607"	12	261	88	8	6	14	9	9	15	15	8	94	37	39	69	24	8	68	12	29	22	30	83	16	8
"608"	51	86	224	21	139	2	99	22	50	18	66	1606	625	359	675	1293	765	891	637	1262	823	933	902	395	127
"609"	3	0	232	0	54	3	4	0	0	0	0	27	31	200	156	15	4	228	149	11	19	198	57	61	188
"610"	9	46	40	27	77	18	17	90	25	56	55	45	210	107	8	0	4	11	0	0	0	18	0	7	2
"611"	17	82	341	233	6	10	126	162	68	21	24	2	8	2	2	2	4	4	0	9	4	2	0	2	7
"612"	72	497	1189	811	142	187	380	484	343	139	199	22	177	34	12	2	125	25	2	2	4	22	0	24	20
"613"	8	0	16	5	3	0	5	2	6	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"614"	11	7	34	37	2	2	18	60	24	2	162	0	0	2	0	0	0	0	0	0	0	0	0	4	3
"615"	11	150	433	214	22	19	106	52	39	19	34	0	2	0	2	2	6	0	2	0	0	2	0	2	0
"616"	5	4	2	0	3	0	23	6	5	0	2	2	0	0	0	0	0	0	0	0	0	5	0	0	0
"617"	18	322	689	332	14	34	367	88	39	21	31	42	20	27	14	26	13	106	35	20	12	142	65	76	91
"618"	4	0	10	0	0	15	0	11	20	2	4	0	0	0	0	2	0	0	0	0	0	0	0	8	7
"619"	8	95	115	44	88	8	53	17	68	53	30	335	121	102	118	193	329	1998	255	151	84	687	439	643	354
"620"	54	521	2034	1186	82	104	396	259	435	163	204	22	27	12	4	2	37	0	0	2	2	10	0	9	7
"621"	6	2	2	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	5
"623"	12	0	14	11	0	8	0	4	0	0	17	4	0	0	0	0	0	0	0	0	0	0	0	0	0
"625"	4	11	15	9	4	17	5	8	13	10	21	8	8	31	5	66	5	8	0	10	0	49	6	18	71
"626"	19	6	30	14	9	2	16	20	2	4	0	0	0	4	0	0	4	0	0	0	2	0	0	0	0
"627"	16	876	1289	176	76	61	290	280	98	66	27	0	28	4	3	0	6	3	2	0	2	9	0	4	0
"628"	2	41	306	119	25	24	116	44	40	36	23	0	4	8	4	0	8	2	2	0	0	7	0	4	0
"629"	2	32	21	8	12	6	63	61	24	4	5	28	2	0	2	6	2	29	7	11	2	20	18	24	31
"630"	9	20	67	65	71	54	17	39	221	32	174	2804	3028	669	585	6442	4243	763	2166	1374	6171	2760	1581	4042	13265
"631"	6	75	68	80	8	137	48	33	32	12	31	2	6	6	6	0	7	0	2	4	8	2	0	13	6
"632"	4	14	21	8	4	17	6	8	2	0	6	20	100	187	776	26	93	202	32	16	6	113	44	776	12177
"633"	21	99	369	254	86	334	254	152	520	87	242	172	4038	895	2494	161	5061	3476	2379	36	876	6561	2633	3507	10409
"634"	14	68	199	103	11	13	113	74	52	15	12	53	2	4	4	4	2	0	0	7	0	2	0	4	2
"635"	4	76	133	64	9	12	33	13	42	6	8	0	4	2	8	0	2	4	0	0	0	0	0	8	4
"636"	2	11	38	27	3	6	16	26	12	10	3	0	2	3	2	0	0	0	0	0	0	0	0	3	0
"637"	29	57	294	115	18	154	66	134	35	32	48	28	18	28	38	2	31	4	0	4	2	5	2	48	30
"638"	10	1750	1191	870	31	98	84	351	327	71	137	8	3	29	56	0	13	2	4	0	3	45	3	64	104
"639"	10	17	80	60	25	4	19	684	25	10	12	25	4	0	11	10	29	0	0	9	4	6	2	0	11
"640"	15	85	289	148	25	65	191	48	48	159	151	23	11	13	28	0	25	0	4	0	3	0	0	17	7
"641"	10	79	200	72	34	41	49	123	34	23	57	4	0	10	10	2	2	2	2	0	0	2	0	0	0
"642"	2	35	2	30	2	0	8	35	2	27	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
"643"	8	188	213	23	39	41	63	37	30	74	64	3211	1304	119	279	2651	1394	1651	195	221	539	2303	235	1363	1193
"644"	7	24	0	12	3	67	16	7	0	2	0	5	0	2	24	0	4	0	15	0	0	0	8	24	3
"645"	7	111	92	51	45	0	13	14	38	5	11	14	78	8	9	22	16	89	2	17	9	98	19	29	34
"646"	7	67	271	408	281	387	42	276	418	125	266	1290	525	478	413	953	843	710	328	1370	237	688	233	644	6836
"647"	9	1296	1554	811	129	110	894	205	1209	209	226	11	43	2	2	7	185	22	0	0	8	177	4	4	14
"648"	5	0	9	2	2	0	2	4	0	0	0	0	0	0	0	0	6	0	0	0	0	2	0	0	0
"649"	3	2	44	0	10	91	0	0	2	0	0	20	0	0	8	20	6	34	4	5	6	16	29	2	2
"650"	3	4	33	93	39	6	5	27	62	48	53	331	101	128	121	157	217	153	41	241	108	197	92	680	68
"651"	28	492	710	485	203	389	330	244	255	656	674	130	180	141	314	57	187	69	6	12	26	113	10	452	1078
"652"	4	140	216	98	22	23	59	229	119	19	30	0	9	23	19	0	4	2	0	0	0	20	14	2	8
"653"	2	339	505	230	2	26	58	81	89	0	14	0	0	0	9	2	2	0	0	0	0	0	0	25	42
"654"	2	0	3	0	2	0	0	0	3	0	0	12	0	0	0	0	0	3	0	0	0	3	0	0	0
"655"	7	4	26	23	2	9	12	10	8	0	4	2	0	0	0	0	0	2	2	6	2	0	0	2	0
"656"	2	0	168	120	65	6	5	4	16	12	32	473	205	172	110	261	875	148	47	41	82	230	155	382	112
"657"	16	62	69	37	11	10	19	13	29	6	8	0	2	0	4	0	4	0	2	2	2	10	0	6	39
"658"	41	253	475	514	1636	3183	27	115	4745	598	1762	754	1058	432	271	104	780	229	1683	13	432	436	1244	665	3315
"659"	2	119	31	18	30	18	41	1013	1427	33	85	22	61	5	5	8	152	65	4	4	0	23	14	19	6
"661"	26	141	389	103	21	33	81	73	55	22	66	2	0	6	6	4	6	4	0	0	0	2	4	2	3
"662"	20	288	489	385	17	38	147	145	103	49	36	10	8	8	72	0	16	2	2	0	0	12	6	4	4
"663"	5	14	62	2	4	0	4	0	2	2	2	52	131	193	95	50	88	456	73	36	34	598	181	1961	2384
"664"	18	743	502	215	657	1059	4743	1797	3667	10611	7033	627	1268	385	1356	1130	1359	38	67	116	216	630	150	9028	226
"665"	5	15	6	8	2	6	4	0	2	4	0	2	2	2	8	4	12	4	2	0	2	24	5	18	74
"666"	2	8	48	13	0	3	14	9	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"667"	10	190	404	152	104	98	94	164	87	13	47	67	45	42	103	88	51	115	9	6	14	373	40	137	254
"668"	6	8	46	7	5	16	8	10	4	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0
"669"	20	64	567	126	192	63	178	76	255	166	144	1108	1009	2458	1360	848	775	8932	607	649	282	10260	1793	13626	9970
"670"	4	13	11	6	0	0	6	9	10	0	2	28	40	0	4	4	0	7	3	0	5	2	4	4	4
"671"	12	124	103	70	6	7	20	24	18	3	15	4	0	2	0	2	0	2	0	4	0	13	12	2	0
"672"	5	10	97	21	0	9	18	31	42	0	0	4	2	0	0	0	0	0	0	0	0	2	0	2	13
"673"	2	0	4	14	2	8	123	2	2	2	4	0	2	0	2	0	9	0	0	2	2	0	0	2	2
"674"	2	183	414	118	4166	324	13	15	160	108	4552	145419	324863	322431	257558	73241	228866	193901	77987	74531	26935	165744	68656	517112	339533
"675"	2	0	38	0	0	0	0	0	0	0	2	2	28	21	13	0	21	21	7	4	230	8	7	58	6
"676"	2	0	19	3	0	0	2	2	0	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"677"	2	2	67	24	0	0	20	17	11	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"678"	2	7	58	7	0	3	5	0	5	0	33	5	4	0	12	58	0	15	3	7	9	29	21	4	3
"679"	2	0	31	0	4	9	23	3	0	0	0	0	0	0	7	0	0	2	0	0	0	0	0	0	0
"680"	19	34	180	62	58	70	83	35	23	12	38	979	264	123	75	1015	248	1010	99	718	171	1069	514	338	223
"681"	71	105	1454	327	110	66	595	213	116	64	127	8	34	16	31	2	24	11	16	8	12	7	0	50	2
"682"	8	6	20	11	3	2	6	2	2	0	0	9	0	0	0	6	0	0	0	0	0	0	0	0	3
"683"	3	39	557	36	120	20	22	44	17	13	57	522	87	146	293	260	62	2759	410	371	88	3402	1952	1244	653
"684"	22	49	249	69	16	28	74	27	29	18	41	4	2	0	8	0	0	0	2	2	0	0	0	0	6
"685"	16	100	137	46	9	4	114	273	286	27	27	9	47	8	0	8	7	6	0	5	7	19	2	2	5
"686"	6	6	8	13	0	5	3	4	2	0	8	3	22	0	5	24	0	38	0	2	2	76	20	6	22
"687"	20	45	157	65	7	22	65	29	24	2	6	4	12	2	4	2	4	0	0	0	0	2	4	0	2
"689"	10	36	78	16	129	51	10	13	68	16	28	48	103	358	202	18	61	223	58	34	16	235	131	1074	1679
"690"	4	122	169	68	14	11	77	69	74	28	32	0	2	4	0	0	2	0	0	0	0	2	0	0	0
"691"	4	118	113	263	23	2	37	57	44	14	11	3	28	9	7	0	35	0	0	0	2	0	0	0	0
"692"	2	9	47	15	21	17	20	17	8	8	16	230	84	56	59	89	207	459	54	62	37	567	122	349	350
"693"	4	8	13	0	77	35	2	0	5	0	10	530	19	63	225	146	171	121	50	274	28	129	47	285	260
"694"	2	0	29	0	2	5	0	5	30	5	2	88	18	15	12	22	6	417	37	115	8	210	183	88	47
"695"	13	79	6	142	0	23	28	45	9	23	27	0	0	0	0	2	0	0	0	0	0	0	0	3	0
"696"	5	714	228	1136	5040	812	206	829	3510	1663	4055	13274	11949	7721	12383	9468	11551	12987	5385	8278	9002	14301	5406	15272	25819
"697"	3	6	11	7	7	5	0	0	2	5	0	0	0	0	0	0	40	0	0	0	0	0	0	6	4
"698"	8	12	10	36	19	34	52	11	56	103	64	0	5	2	2	0	10	0	0	0	2	0	10	0	2
"699"	3	0	221	2	326	937	0	0	2	32	330	0	0	30	17	0	0	8	14	0	0	4	10	0	0
"700"	18	31	288	56	13	26	46	22	57	13	34	364	155	2	11	168	207	11	3	161	11	33	8	64	42
"701"	2	10	18	3	2	2	10	21	6	20	7	23	5	6	8	6	2	13	0	10	2	2	13	13	13
"702"	4	30	190	71	128	24	24	14	28	96	97	102	111	84	7	19	89	52	16	27	89	131	43	118	167
"703"	10	129	197	74	45	34	221	71	73	10	114	0	0	4	3	0	10	0	3	0	0	0	2	8	0
"704"	26	193	384	232	21	33	80	125	679	32	68	0	21	4	10	0	8	12	12	2	2	8	4	12	25
"705"	12	60	384	92	9	17	76	143	53	21	34	4	13	6	29	4	6	11	0	0	15	26	13	18	16
"706"	4	108	0	211	4	3	2	4	0	6	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
"707"	8	13	66	25	86	38	53	28	27	15	35	50	314	214	124	125	203	117	101	160	12	95	47	147	265
"708"	2	0	13	0	0	0	0	4	0	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"709"	9	59	183	79	47	521	100	140	90	86	187	2	17	13	59	0	0	2	0	0	0	0	0	2	0
"710"	6	0	42	175	21	29	34	42	45	11	41	31	16	31	75	39	55	278	45	33	24	280	649	93	296
"711"	4	89	42	48	33	41	18	8	16	15	35	9	109	45	69	45	102	48	23	8	21	60	19	100	72
"712"	2	0	2	0	0	0	0	2	6	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"713"	2	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	9	0	2	0	6	2	5	29
"714"	6	54	218	244	4	10	59	57	30	11	31	0	0	0	5	0	7	13	0	0	2	66	0	56	190
"715"	9	174	317	177	9	17	51	62	23	3	21	2	2	4	5	4	4	2	0	0	2	4	0	0	88
"716"	16	66	112	36	118	60	569	289	41	14	27	2144	98	154	368	576	46	9943	586	495	324	1293	5228	181	36
"717"	15	31	39	10	29	9	24	4	5	2	6	6	28	113	6	15	11	57	9	73	0	59	0	2	0
"718"	20	33	238	69	225	51	83	47	67	120	35	47	29	50	46	22	137	106	19	11	42	68	133	45	29
"719"	4	22	135	65	25	25	48	25	46	12	18	72	24	23	49	35	6	143	193	43	16	135	259	38	68
"720"	2	8	79	12	4	2	29	10	18	4	12	7	6	40	7	9	16	72	20	4	2	420	283	56	31
"721"	2	2	2	0	0	2	0	14	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3
"722"	7	42	54	29	46	26	7	23	0	5	9	88	221	157	1060	235	278	2117	217	27	57	14287	2031	1921	4314
"723"	4	0	4	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
"724"	8	32	107	61	66	75	26	84	49	97	137	2	14	21	42	9	22	7	0	2	6	34	4	74	123
"725"	5	0	76	3	0	2	24	7	10	0	9	0	0	0	0	0	5	0	0	4	0	0	0	4	2
"726"	38	294	601	276	19	36	262	331	193	35	62	38	61	0	7	56	14	34	0	0	7	31	5	53	0
"727"	2	19	36	18	40	22	39	6	6	0	7	60	26	4	5	28	38	10	11	22	20	27	5	49	13
"728"	4	10	48	13	85	20	17	6	16	0	2	23	3	16	76	0	22	286	69	8	19	333	725	58	286
"729"	4	25	170	80	5	0	92	31	19	13	16	0	0	0	0	0	12	0	0	0	0	0	0	3	0
"730"	2	38	40	22	0	2	22	2	12	13	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0
"731"	6	24	26	18	6	5	24	10	14	6	12	0	2	6	4	0	2	0	0	2	2	0	0	19	34
"732"	9	103	486	202	3	64	78	67	7	50	37	2	16	0	19	12	13	0	0	0	0	0	0	40	76
"733"	2	10	26	16	2	2	5	0	0	2	2	6	2	0	4	0	0	11	2	3	0	4	4	8	4
"734"	4	4	16	2	2	2	3	0	33	0	8	0	0	3	18	0	0	0	0	0	0	2	15	16	12
"735"	6	95	223	103	15	47	61	63	119	32	103	246	135	25	57	119	40	103	11	122	66	135	53	227	129
"736"	2	23	6	0	2	2	0	0	0	0	10	8	0	0	3	0	0	6	0	0	0	13	2	0	2
"737"	18	131	270	93	6	14	181	205	188	25	34	0	2	4	5	0	2	2	0	0	0	2	0	4	2
"738"	22	105	305	135	14	28	124	87	76	23	33	0	8	2	8	2	12	4	0	0	6	2	2	2	0
"739"	6	157	661	194	608	147	250	78	418	371	63	418	430	90	114	658	240	853	79	535	370	1305	524	284	180
"740"	6	39	3736	125	1694	189	240	248	104	97	160	230	138	323	116	299	259	302	93	119	21	303	2	230	252
"741"	15	51	87	14	0	0	11	14	27	4	11	2	0	9	0	0	2	0	0	0	0	0	0	0	4
"742"	3	0	7	4	0	0	4	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0
"743"	18	954	788	29	162	139	367	25	355	43	171	21	34	6	8	13	22	4	0	4	0	5	2	42	86
"744"	10	11	116	32	16	27	173	423	118	8	21	28	99	55	25	12	116	15	4	16	10	19	6	188	147
"745"	2	0	17	9	4	2	2	0	0	0	0	25	0	2	18	2	5	88	25	4	3	54	103	50	71
"746"	8	39	140	118	26	20	77	18	66	16	12	3	12	7	26	2	6	6	2	0	0	24	2	48	70
"747"	2	146	146	81	33	4	57	53	51	5	17	8	28	13	9	0	44	21	6	6	9	38	19	13	54
"748"	20	121	450	231	28	99	167	131	115	69	55	4	17	4	4	3	14	2	0	2	2	2	0	0	2
"749"	12	32	111	113	4	5	74	90	32	0	4	84	0	0	0	0	2	0	0	0	0	0	0	2	3
"750"	4	27	60	6	0	7	18	25	7	2	13	4	2	0	12	0	0	8	0	0	0	0	0	0	0
"751"	7	0	21	38	0	0	7	4	0	12	0	28	15	10	25	14	13	22	2	6	8	27	15	30	32
"752"	2	2	0	0	10	0	2	0	0	0	0	58	4	0	18	14	0	116	19	17	2	126	469	37	55
"753"	10	18	116	51	25	12	58	34	12	10	14	22	30	38	39	18	17	458	45	10	22	228	312	88	246
"754"	2	6	10	0	7	0	9	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"755"	12	40	230	37	36	42	2428	280	715	627	1302	806	594	1551	4773	212	683	93	170	83	37	87	118	1122	882
"756"	4	16	942	121	18802	71	4450	4742	40	394	5228	356877	1034736	270788	399786	288365	910894	581700	526738	224078	297660	339755	401707	653417	467126
"757"	4	11	16	0	4	2	0	8	16	2	0	2	2	0	0	0	2	2	0	0	0	0	0	2	2
"758"	2	9	20	7	0	0	4	15	2	75	39	0	0	0	3	2	0	0	2	0	0	6	0	3	6
"759"	3	4	55	12	97	0	14	0	13	125	39	18	628	126	95	10	1000	217	42	12	15	305	131	1515	1014
"760"	2	2	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	2	0	0	0	3	0	0	0
"761"	12	69	277	108	12	18	72	191	75	22	44	6	10	4	0	0	13	2	4	0	2	26	18	8	13
"762"	6	4	36	39	0	0	6	9	9	3	15	11	44	0	10	21	28	109	4	5	20	106	16	26	46
"763"	6	59	69	58	2	4	18	22	24	0	2	42	17	80	62	29	30	191	32	8	11	335	76	468	243
"764"	24	472	561	271	48	345	204	231	151	24	71	0	46	5	122	4	19	0	0	0	0	3	2	4	10
"765"	3	2	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"766"	8	265	1808	3080	1194	1061	1958	3490	7343	726	1446	1229	1570	946	1136	676	1490	375	288	235	816	987	222	590	1045
"767"	4	34	96	21	8	8	11	18	31	4	6	5	5	5	22	11	0	16	0	4	4	26	14	6	5
"768"	5	11	12	8	10	0	0	2	3	47	12	0	2	6	6	0	0	0	0	0	0	0	0	6	15
"769"	4	91	76	85	2	2	30	36	12	47	34	37	105	95	125	27	72	64	26	4	3	169	14	120	358
"770"	12	56	261	83	12	15	49	72	45	40	36	0	5	6	2	0	7	0	0	2	2	8	0	2	6
"771"	6	14	29	17	0	21	11	26	20	0	6	0	9	21	2	2	9	0	0	0	0	6	0	6	2
"772"	8	10	43	24	16	134	29	22	6	4	12	10	8	2	9	13	17	31	0	4	2	22	24	32	16
"773"	6	14	798	40	2462	97	62	84	154	37	1700	5604	1011	231005	137341	904	411	215222	163637	854	421	133463	213241	536234	223042
"774"	13	67	281	24	2	3	35	57	32	16	2	4	6	20	5	3	12	0	4	15	2	8	2	11	33
"775"	2	0	27	4	0	0	0	0	28	0	0	20	41	22	10	128	26	17	4	2	19	70	12	19	77
"776"	4	41	201	52	224	185	184	12	20	86	209	245	261	193	109	396	279	123	17	230	71	443	46	141	71
"777"	15	1379	273	1456	3484	65	52	334	785	57	954	12736	11287	10777	7630	17901	10005	28001	23361	21401	19945	14238	7295	16353	11285
"779"	2	2	127	32	2	0	33	17	19	4	12	10	2	6	3	43	0	52	68	4	0	20	98	18	33
"780"	15	204	275	157	26	37	73	142	86	20	64	2	0	5	2	2	5	0	0	0	4	0	0	0	9
"781"	4	11	44	16	9	5	49	10	21	2	6	6	6	2	8	0	7	2	0	0	2	0	0	6	19
"782"	2	6	5	2	4	0	0	2	2	4	2	2	0	6	2	2	6	0	0	0	0	0	0	5	0
"783"	17	16	171	96	0	25	53	86	37	30	40	2	4	5	7	2	12	2	0	0	2	0	7	0	0
"784"	2	9	2	13	7	0	6	10	5	0	2	0	3	12	0	0	0	0	0	0	0	0	0	0	0
"785"	2	2	25	6	2	2	6	2	5	0	8	0	0	0	0	0	0	5	0	0	0	30	0	0	7
"786"	2	48	69	89	4	39	19	62	15	10	13	0	0	0	0	0	0	0	8	0	0	23	25	8	0
"787"	7	10	81	73	116	61	45	60	24	38	70	37	110	57	14	29	0	0	2	6	10	13	2	18	11
"788"	4	321	408	174	232	29	272	157	164	53	74	346	3171	3404	1765	397	6547	8529	2696	62	9384	38699	23314	5991	4326
"789"	2	0	20	4	0	4	11	0	0	2	3	2	2	0	0	0	0	6	0	0	0	0	0	14	2
"790"	4	0	21	4	2	6	2	23	16	0	0	0	0	3	0	0	0	8	0	0	0	9	2	2	9
"791"	10	16	57	32	55	13	171	35	2	16	20	548	25	70	113	155	17	2448	114	134	83	479	1386	117	36
"792"	8	35	255	933	7148	5841	56	428	1402	339	3319	1391	2201	2528	1467	2160	2059	1767	465	1653	1726	2448	960	2069	2961
"793"	2	59	188	37	4	225	25	28	15	0	9	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"794"	9	2617	432	2729	31	39	123	1035	894	14	26	36	90	50	65	2	78	18	111	46	17	22	48	52	26
"795"	6	0	7	4	0	8	0	2	2	0	0	0	0	0	4	0	2	0	0	0	0	0	2	0	0
"796"	2	6	23	0	9	0	23	9	8	4	4	0	0	5	0	0	0	0	0	0	0	2	7	0	12
"797"	6	39	145	142	73	37	58	45	13	42	23	507	576	143	290	479	319	402	40	42	205	1524	152	303	835
"798"	13	19	174	25	20	50	28	191	171	202	86	55	61	36	81	63	52	107	13	6	22	216	31	87	282
"799"	2	0	0	0	4	0	0	0	0	0	0	6	0	0	0	0	0	2	0	0	0	0	0	0	2
"800"	6	62	151	77	21	17	45	69	31	4	23	0	2	0	0	0	6	0	0	0	0	6	0	0	0
"801"	4	130	184	108	2	0	102	89	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"802"	7	90	166	137	89	48	12	60	50	47	124	197	183	340	130	218	240	195	64	184	138	113	118	204	218
"803"	2	52	51	12	0	0	11	95	69	0	5	0	4	0	4	2	0	0	0	0	0	0	0	0	2
"804"	9	59	20	9	11	9	1	11	22	9	0	2	24	17	7	2	323	35	38	3	67	170	10	14	36
"805"	2	17	49	45	2	25	22	6	18	0	0	2	6	8	0	2	0	0	0	0	0	2	2	0	0
"807"	8	24	53	32	11	4	16	33	25	2	8	4	2	5	4	0	2	6	0	0	0	47	0	24	2
"808"	2	2	3	0	10	23	0	8	9	0	29	0	3	2	0	0	2	0	0	0	0	0	0	2	4
"809"	4	6	98	9	2	9	10	14	2	15	8	4	3	4	21	3	2	2	0	0	0	0	0	0	0
"810"	6	69	95	63	279	20	21	34	23	129	24	30	10	18	15	31	39	6	2	0	0	74	6	55	66
"811"	3	38	18	40	0	0	18	33	11	0	4	2	2	2	4	0	0	0	0	0	0	0	0	2	18
"812"	7	22	15	14	2	0	8	9	6	6	0	2	0	0	3	4	4	4	2	4	0	10	0	4	8
"813"	2	7	2765	1867	1066	466	356	256	840	1458	1113	500	165	1550	1127	445	245	498	92	362	321	410	312	689	326
"814"	2	0	8	0	0	2	4	0	0	0	0	0	15	2	0	0	0	0	0	0	0	0	0	4	5
"815"	2	2	18	18	4	6	21	21	4	0	19	0	2	4	20	2	0	27	2	4	0	14	12	27	38
"816"	7	11	23	11	0	0	26	11	11	4	4	0	42	0	3	2	6	0	0	0	0	27	7	35	69
"817"	11	25	68	144	0	2	35	24	11	4	12	4	2	0	0	93	4	0	3	0	0	0	12	2	0
"818"	2	15	25	95	0	22	12	23	20	8	45	4	0	0	10	0	24	4	0	2	0	0	0	4	7
"819"	3	4	3	2	0	8	2	0	0	15	0	0	0	2	0	2	0	0	0	2	0	0	0	0	0
"820"	2	5	20	29	3	0	0	9	0	0	4	8	9	6	2	2	2	0	4	2	0	0	0	15	15
"821"	6	141	58	96	15	10	43	20	93	5	10	0	0	6	0	0	2	2	0	0	0	0	14	0	2
"822"	2	2	5	0	0	0	12	12	0	0	0	2	0	0	0	0	0	0	0	2	2	2	2	0	2
"823"	4	2	32	2	2	0	2	0	2	0	2	43	2	0	13	34	14	146	378	58	6	64	180	43	46
"824"	6	6	32	2	0	0	0	0	2	0	0	0	0	0	4	4	0	8	0	2	0	8	3	4	0
"825"	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3
"827"	2	0	8	0	4	6	0	4	0	0	0	26	12	4	5	14	4	22	4	6	2	10	6	2	10
"828"	11	118	146	71	16	23	97	211	46	42	178	6	8	0	6	2	2	0	0	0	0	2	0	2	0
"829"	4	13	27	3	6	44	13	19	17	8	16	24	49	31	10	6	60	8	9	6	2	14	10	23	13
"831"	3	36	0	13	0	4	0	16	6	0	19	0	2	8	14	4	0	0	0	0	0	5	0	28	10
"832"	2	15	45	6	0	2	6	21	15	15	2	0	0	0	2	3	0	2	0	0	0	4	0	0	0
"833"	2	0	0	3	25	2	0	13	0	0	0	2	50	23	0	12	36	5	4	7	7	44	0	72	0
"834"	4	61	85	32	14	14	37	43	20	38	28	228	157	4	8	97	185	2	18	7	26	12	4	320	8
"835"	16	46	289	138	16	59	116	81	28	6	41	2	0	4	2	0	0	2	0	0	0	0	0	0	0
"837"	4	12	23	0	4	8	0	0	4	6	32	2	2	0	0	0	0	0	0	0	0	10	0	2	0
"838"	2	71	53	21	5	12	41	37	11	0	41	0	0	3	0	0	0	0	0	0	0	5	2	2	7
"839"	5	41	321	105	5	31	82	71	78	35	41	0	6	3	18	0	6	6	2	0	0	10	2	16	34
"840"	7	6	27	8	8	2	6	8	3	0	0	7	9	33	9	6	13	13	20	25	2	51	72	20	66
"841"	2	0	2	0	0	5	4	7	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2
"842"	2	21	156	73	0	23	19	13	12	12	2	0	0	5	12	13	19	32	3	0	0	51	26	27	13
