"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"
"56"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Coriobacteriaceae"	"Unknown"
"57"	"Bacteria"	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"58"	"Bacteria"	"Candidatus Uhrbacteria"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"59"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Unknown"	"Unknown"
"60"	"Bacteria"	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"61"	"Bacteria"	"Candidatus Fermentibacteria"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"62"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Unknown"
"63"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Thiotrichales"	"Thiotrichaceae"	"Thioploca"
"64"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptococcaceae"	"Unknown"
"65"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Eggerthellales"	"Eggerthellaceae"	"Slackia"
"66"	"Bacteria"	"Candidatus Saccharibacteria"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"67"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Methylococcales"	"Unknown"	"Candidatus Methyloumidiphilus"
"69"	"Bacteria"	"Spirochaetes"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"70"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfovibrionales"	"Desulfovibrionaceae"	"Unknown"
"71"	"Archaea"	"Candidatus Thorarchaeota"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"72"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Neisseriales"	"Neisseriaceae"	"Neisseria"
"73"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptococcaceae"	"Desulfosporosinus"
"74"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Syntrophobacterales"	"Syntrophaceae"	"Unknown"
"75"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Butyricicoccus"
"76"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfobacterales"	"Desulfobacteraceae"	"Desulfatirhabdium"
"77"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Nitrosomonadales"	"Unknown"	"Unknown"
"78"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Sutterellaceae"	"Unknown"
"79"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Eggerthellales"	"Eggerthellaceae"	"Gordonibacter"
"80"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Unknown"
"81"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Unknown"	"Unknown"
"82"	"Archaea"	"Euryarchaeota"	"Methanomicrobia"	"Methanomicrobiales"	"Unknown"	"Unknown"
"83"	"Bacteria"	"Nitrospirae"	"Nitrospira"	"Nitrospirales"	"Nitrospiraceae"	"Candidatus Magnetobacterium"
"84"	"Archaea"	"Candidatus Micrarchaeota"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"85"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfobacterales"	"Desulfobacteraceae"	"Desulfobacula"
"86"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Rhodoglobus"
"87"	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Eggerthellales"	"Eggerthellaceae"	"Eggerthella"
"88"	"Archaea"	"Euryarchaeota"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"89"	"Bacteria"	"Candidatus Cryosericota"	"Candidatus Cryosericia"	"Candidatus Cryosericales"	"Candidatus Cryosericaceae"	"Candidatus Cryosericum"
"90"	"Archaea"	"Candidatus Bathyarchaeota"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"91"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Unknown"	"Unknown"
"92"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptococcaceae"	"Desulfitobacterium"
"93"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"
"94"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Syntrophobacterales"	"Syntrophaceae"	"Unknown"
"95"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Unknown"
"96"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacteroides"
"97"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Unknown"	"Unknown"	"Unknown"
"98"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Phyllobacteriaceae"	"Mesorhizobium"
"99"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfovibrionales"	"Desulfovibrionaceae"	"Desulfovibrio"
"100"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Unknown"
"101"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Morganellaceae"	"Providencia"
"102"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Oscillospiraceae"	"Oscillibacter"
"103"	"Bacteria"	"Candidatus Saccharibacteria"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"104"	"Archaea"	"Euryarchaeota"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"105"	"Bacteria"	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"106"	"Bacteria"	"Firmicutes"	"Clostridia"	"Unknown"	"Unknown"	"Unknown"
"107"	"Bacteria"	"Chloroflexi"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"108"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptococcaceae"	"Unknown"
"109"	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Unknown"	"Unknown"	"Unknown"
"110"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Oxalobacteraceae"	"Duganella"
"111"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfuromonadales"	"Desulfuromonadaceae"	"Desulfuromusa"
"112"	"Bacteria"	"Planctomycetes"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"113"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Unknown"	"Unknown"	"Unknown"
"114"	"Bacteria"	"Bacteroidetes"	"Cytophagia"	"Cytophagales"	"Cytophagaceae"	"Spirosoma"
"115"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"
"116"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"Unknown"	"Unknown"	"Unknown"
"117"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Geobacillus"
"118"	"Bacteria"	"Cyanobacteria"	"Unknown"	"Synechococcales"	"Synechococcaceae"	"Synechococcus"
