Kingdom	Phylum	Order	Class	Family	Genus
60	k.Bacteria	p.Proteobacteria	o.Betaproteobacteria	c.Burkholderiales	f.Comamonadaceae	g.Rhodoferax
61	k.Bacteria	p.Bacteroidetes	o.Bacteroidia	c.Bacteroidales	f.Paludibacteraceae	g.Paludibacter
62	k.Bacteria	p.Proteobacteria	o.Epsilonproteobacteria	c.Campylobacterales	f.Campylobacteraceae	NA
63	k.Bacteria	p.Proteobacteria	o.Epsilonproteobacteria	c.Campylobacterales	f.Campylobacteraceae	Arcobacter.group
64	k.Bacteria	p.Elusimicrobia	unclassified.Elusimicrobia	NA	NA	NA
65	k.Bacteria	p.Bacteroidetes	o.Flavobacteriia	c.Flavobacteriales	f.Flavobacteriaceae	NA
66	k.Bacteria	p.Tenericutes	unclassified.Tenericutes	sp.Tenericutes.bacterium.HGW-Tenericutes-1	NA	NA
67	k.Bacteria	p.Proteobacteria	o.Gammaproteobacteria	c.Pseudomonadales	f.Moraxellaceae	g.Acinetobacter
68	k.Bacteria	p.Proteobacteria	o.Alphaproteobacteria	c.Rhodobacterales	f.Rhodobacteraceae	NA
69	k.Bacteria	p.Proteobacteria	o.Alphaproteobacteria	c.Rhodobacterales	f.Rhodobacteraceae	g.Pseudorhodobacter
70	k.Bacteria	p.Bacteroidetes	o.Flavobacteriia	c.Flavobacteriales	f.Flavobacteriaceae	g.Flavobacterium
71	k.Bacteria	p.Proteobacteria	o.Betaproteobacteria	c.Burkholderiales	f.Comamonadaceae	g.Curvibacter
72	k.Bacteria	p.Proteobacteria	o.Betaproteobacteria	c.Burkholderiales	f.Comamonadaceae	g.Polaromonas
73	k.Bacteria	p.Proteobacteria	unclassified.Proteobacteria	unclassified.Proteobacteria	sp.Proteobacteria.bacterium	NA
74	k.Bacteria	p.Proteobacteria	o.Alphaproteobacteria	c.Sphingomonadales	f.Sphingomonadaceae	g.Novosphingobium
75	k.Bacteria	p.Proteobacteria	o.Gammaproteobacteria	c.Xanthomonadales	NA	NA
76	k.Bacteria	p.Proteobacteria	o.Betaproteobacteria	c.Burkholderiales	f.Comamonadaceae	g.Hydrogenophaga
77	k.Bacteria	p.Proteobacteria	o.Gammaproteobacteria	c.Legionellales	f.Legionellaceae	g.Legionella
