"Kingdom"	"Superphylum"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"bp_ASV_000045"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Rhodospirillales_AEGEAN-169"	"Rhodospirillales_AEGEAN-169"	"uncultured_marine_bacterium"
"en_ASV_00139"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Dinophyceae_X"	"Dinophyceae_XX"	"Dinophyceae_XXX"	"Dinophyceae_XXX_sp"
"bp_ASV_000041"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11"	"SAR11_Clade_IV"	"SAR11_Clade_IV"	"uncultured_marine_bacterium"
"en_ASV_00153"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-I"	"Syndiniales-Group-I-Clade-1"	"Syndiniales-Group-I-Clade-1_X"	"Syndiniales-Group-I-Clade-1_X_sp"
"bn_ASV_000087"	"Bacteria"	"Cyanobacteria"	"Cyanobacteria"	"Oxyphotobacteria"	"Synechococcales"	"Cyanobiaceae"	"Synechococcus_CC9902"	"unidentified_marine_bacterioplankton"
"bp_ASV_000001"	"Bacteria"	"Cyanobacteria"	"Cyanobacteria"	"Oxyphotobacteria"	"Synechococcales"	"Cyanobiaceae"	"Synechococcus_CC9902"	"uncultured_bacterium"
"en_ASV_00179"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Dinophyceae_X"	"Dinophyceae_XX"	"Dinophyceae_XXX"	"Dinophyceae_XXX_sp"
"ep_ASV_00002"	"Eukaryota"	"Archaeplastida"	"Chlorophyta"	"Mamiellophyceae"	"Mamiellales"	"Mamiellaceae"	"Micromonas"	"Micromonas_Clade-B.E.3"
"ep_ASV_00041"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Dinophyceae_X"	"Dinophyceae_XX"	"Dinophyceae_XXX"	"Dinophyceae_XXX_sp"
"bp_ASV_000038"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria_SAR86"	"Gammaproteobacteria_SAR86"	"Gammaproteobacteria_SAR86"	"uncultured_bacterium"
"ep_ASV_00011"	"Eukaryota"	"Archaeplastida"	"Chlorophyta"	"Mamiellophyceae"	"Mamiellales"	"Mamiellaceae"	"Micromonas"	"Micromonas_sp"
"bp_ASV_000125"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Rhodospirillales_AEGEAN-169"	"Rhodospirillales_AEGEAN-169"	"uncultured_marine_bacterium"
"bp_ASV_000155"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Thiotrichales"	"Thiotrichaceae"	"Thiotrichaceae_X"	"uncultured_bacterium"
"en_ASV_00114"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Dinophyceae_X"	"Dinophyceae_XX"	"Dinophyceae_XXX"	"Dinophyceae_XXX_sp"
"bn_ASV_000024"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Rhodospirillales_AEGEAN-169"	"Rhodospirillales_AEGEAN-169"	"uncultured_bacterium"
"bn_ASV_000026"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11"	"SAR11_Clade_II"	"SAR11_Clade_II"	"uncultured_bacterium"
