"Kingdom"	"Superphylum"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"en_ASV_00643"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Dinophyceae_X"	"Dinophyceae_XX"	"Dinophyceae_XXX"	"Dinophyceae_XXX_sp"
"en_ASV_00681"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-III"	"Syndiniales-Group-III_X"	"Syndiniales-Group-III_XX"	"Syndiniales-Group-III_XX_sp"
"ep_ASV_00146"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-II"	"Syndiniales-Group-II-Clade-10-and-11"	"Syndiniales-Group-II-Clade-10-and-11_X"	"Syndiniales-Group-II-Clade-10-and-11_X_sp"
"bn_ASV_000304"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria_SAR86"	"Gammaproteobacteria_SAR86"	"Gammaproteobacteria_SAR86"	"uncultured_gamma_proteobacterium"
"bp_ASV_000341"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacteriaceae_NS5"	"uncultured_marine_bacterium"
"bn_ASV_000348"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Rhodobacteraceae_X"	"uncultured_bacterium"
"en_ASV_00899"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Dinophyceae_X"	"Dinophyceae_XX"	"Dinophyceae_XXX"	"Dinophyceae_XXX_sp"
"bn_ASV_000277"	"Bacteria"	"Epsilonbacteraeota"	"Epsilonbacteraeota"	"Campylobacteria"	"Campylobacterales"	"Arcobacteraceae"	"Arcobacter"	"Arcobacter_cryaerophilus"
"bn_ASV_000389"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Fulvimarina"	"Fulvimarina_manganoxydans"
"en_ASV_00760"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Dinophyceae_X"	"Dinophyceae_XX"	"Dinophyceae_XXX"	"Dinophyceae_XXX_sp"
"bn_ASV_000578"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Cellvibrionales"	"Halieaceae"	"Halieaceae_OM60"	"marine_metagenome"
"bn_ASV_000232"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Acidimicrobiia"	"Microtrichales"	"Microtrichaceae"	"Sva0996_marine_group"	"uncultured_bacterium"
"bn_ASV_000238"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria_SAR86"	"Gammaproteobacteria_SAR86"	"Gammaproteobacteria_SAR86"	"uncultured_bacterium"
"bn_ASV_000262"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11"	"SAR11_Clade_I"	"SAR11_Clade_I"	"uncultured_marine_bacterium"
"bp_ASV_000135"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Pseudohongiellaceae"	"Pseudohongiella"	"uncultured_marine_bacterium"
"bp_ASV_000216"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Micavibrionales"	"Micavibrionales_X"	"Micavibrionales_X"	"uncultured_alpha_proteobacterium"
"ep_ASV_00070"	"Eukaryota"	"Hacrobia"	"Cryptophyta"	"Cryptophyceae"	"Cryptophyceae_X"	"Cryptomonadales"	"Cryptomonadales_X"	"Cryptomonadales_X_sp"
"bn_ASV_000271"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Acidimicrobiia"	"Microtrichales"	"Microtrichaceae"	"Sva0996_marine_group"	"marine_metagenome"
"en_ASV_00428"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-I"	"Syndiniales-Group-I-Clade-1"	"Syndiniales-Group-I-Clade-1_X"	"Syndiniales-Group-I-Clade-1_X_sp"
"bp_ASV_000417"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria_SAR86"	"Gammaproteobacteria_SAR86"	"Gammaproteobacteria_SAR86"	"uncultured_bacterium"
"en_ASV_00370"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Peridiniales"	"Thoracosphaeraceae"	"Scrippsiella"	"Scrippsiella_acuminata"
"bn_ASV_000454"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Methylophilaceae"	"Methylophilaceae_OM43"	"marine_metagenome"
"bp_ASV_000348"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Rhodobacteraceae_X"	"uncultured_bacterium"
"ep_ASV_00346"	"Eukaryota"	"Hacrobia"	"Telonemia"	"Telonemia_X"	"Telonemia_XX"	"Telonemia-Group-2"	"Telonemia-Group-2_X"	"Telonemia-Group-2_X_sp"
"ep_ASV_00350"	"Eukaryota"	"Hacrobia"	"Picozoa"	"Picozoa_X"	"Picozoa_XX"	"Picozoa_XXX"	"Picozoa_XXXX"	"Picozoa_XXXX_sp"
"en_ASV_00253"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Suessiales"	"Suessiaceae"	"Ansanella"	"Ansanella_granifera"
"en_ASV_00465"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Dinophyceae_X"	"Ptychodiscaceae"	"Ptychodiscus"	"Ptychodiscus_noctiluca"
"bn_ASV_000334"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria_OM182"	"Gammaproteobacteria_OM182"	"Gammaproteobacteria_OM182"	"uncultured_bacterium"
"bn_ASV_000921"	"Bacteria"	"Planctomycetes"	"Planctomycetes"	"Planctomycetacia"	"Planctomycetes_OM190"	"Planctomycetes_OM190"	"Planctomycetes_OM190"	"uncultured_bacterium"
"bp_ASV_000398"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Steroidobacterales"	"Woeseiaceae"	"Woeseia"	"uncultured_bacterium"
"ep_ASV_00265"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Gymnodiniales"	"Kareniaceae"	"Karlodinium"	"Karlodinium_sp"
"ep_ASV_00501"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Prorocentrales"	"Prorocentraceae"	"Prorocentrum"	"Prorocentrum_sp"
"en_ASV_00334"	"Eukaryota"	"Stramenopiles"	"Ochrophyta"	"Bacillariophyta"	"Bacillariophyta_X"	"Polar-centric-Mediophyceae"	"Polar-centric-Mediophyceae_X"	"Polar-centric-Mediophyceae_X_sp"
"en_ASV_00820"	"Eukaryota"	"Archaeplastida"	"Chlorophyta"	"Prasino-Clade-9"	"Prasino-Clade-9_X"	"Prasino-Clade-9-B"	"Prasino-Clade-9-B_X"	"Prasino-Clade-9-B_X_sp"
"bn_ASV_000519"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Oleiphilaceae"	"Oleiphilus"	"uncultured_bacterium_AD12-E7"
"ep_ASV_00461"	"Eukaryota"	"Archaeplastida"	"Chlorophyta"	"Pyramimonadales"	"Pyramimonadales_X"	"Pyramimonadales_XX"	"Pyramimonas"	"Pyramimonas_sp"
"ep_ASV_00371"	"Eukaryota"	"Stramenopiles"	"Stramenopiles_X"	"MAST"	"MAST-9"	"MAST-9A"	"MAST-9A_X"	"MAST-9A_X_sp"
"en_ASV_00074"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Dinophyceae_X"	"Dinophyceae_XX"	"Dinophyceae_XXX"	"Dinophyceae_XXX_sp"
"bn_ASV_000226"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria_HOC36"	"Gammaproteobacteria_HOC36"	"Gammaproteobacteria_HOC36"	"uncultured_bacterium"
"bp_ASV_000242"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Puniceispirillales"	"Puniceispirillales_SAR116"	"Puniceispirillales_SAR116"	"unidentified_marine_bacterioplankton"
"bp_ASV_000290"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Parvibaculales"	"Parvibaculales_OCS116"	"Parvibaculales_OCS116"	"uncultured_marine_bacterium"
"bp_ASV_000386"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria_SAR86"	"Gammaproteobacteria_SAR86"	"Gammaproteobacteria_SAR86"	"uncultured_marine_bacterium"
"ep_ASV_00229"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-II"	"Syndiniales-Group-II-Clade-10-and-11"	"Syndiniales-Group-II-Clade-10-and-11_X"	"Syndiniales-Group-II-Clade-10-and-11_X_sp"
"bn_ASV_000197"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria_SAR86"	"Gammaproteobacteria_SAR86"	"Gammaproteobacteria_SAR86"	"uncultured_bacterium"
"bn_ASV_000222"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Rhodospirillales_AEGEAN-169"	"Rhodospirillales_AEGEAN-169"	"uncultured_bacterium"
"bp_ASV_000226"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria_HOC36"	"Gammaproteobacteria_HOC36"	"Gammaproteobacteria_HOC36"	"uncultured_bacterium"
"en_ASV_01161"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Strombidiida"	"Strombidiidae_H"	"Strombidiidae_H_X"	"Strombidiidae_H_X_sp"
"ep_ASV_00040"	"Eukaryota"	"Stramenopiles"	"Ochrophyta"	"Bacillariophyta"	"Bacillariophyta_X"	"Polar-centric-Mediophyceae"	"Polar-centric-Mediophyceae_X"	"Polar-centric-Mediophyceae_X_sp"
"bn_ASV_000173"	"Bacteria"	"Planctomycetes"	"Planctomycetes"	"Phycisphaerae"	"Phycisphaerales"	"Phycisphaeraceae"	"Urania-1B-19_marine_sediment_group"	"uncultured_bacterium"
"bn_ASV_000380"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria_UBA10353"	"Gammaproteobacteria_UBA10353"	"Gammaproteobacteria_UBA10353"	"unidentified_marine_bacterioplankton"
"ep_ASV_00026"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-I"	"Syndiniales-Group-I-Clade-1"	"Syndiniales-Group-I-Clade-1_X"	"Syndiniales-Group-I-Clade-1_X_sp"
"ep_ASV_00188"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-II"	"Syndiniales-Group-II-Clade-10-and-11"	"Syndiniales-Group-II-Clade-10-and-11_X"	"Syndiniales-Group-II-Clade-10-and-11_X_sp"
"bn_ASV_000071"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Nereida"	"Nereida_ignava"
"bn_ASV_000172"	"Archaea"	"Euryarchaeota"	"Euryarchaeota"	"Thermoplasmata"	"Thermoplasmata_Marine_Group_II"	"Thermoplasmata_Marine_Group_II"	"Thermoplasmata_Marine_Group_II"	"uncultured_archaeon"
"ep_ASV_00390"	"Eukaryota"	"Stramenopiles"	"Stramenopiles_X"	"MAST"	"MAST-3"	"MAST-3E"	"MAST-3E_X"	"MAST-3E_X_sp"
"ep_ASV_00260"	"Eukaryota"	"Stramenopiles"	"Ochrophyta"	"Chrysophyceae"	"Chrysophyceae_X"	"Chrysophyceae_Clade-G"	"Chrysophyceae_Clade-G_X"	"Chrysophyceae_Clade-G_X_sp"
"bn_ASV_000285"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Pseudohongiellaceae"	"Pseudohongiella"	"uncultured_bacterium"
"en_ASV_00351"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-I"	"Syndiniales-Group-I-Clade-1"	"Syndiniales-Group-I-Clade-1_X"	"Syndiniales-Group-I-Clade-1_X_sp"
"en_ASV_00549"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Gymnodiniales"	"Gymnodiniaceae"	"Lepidodinium"	"Lepidodinium_chlorophorum"
"en_ASV_00937"	"Eukaryota"	"Rhizaria"	"Radiolaria"	"Acantharea"	"Arthracanthida-Symphyacanthida"	"Arthracanthida-Symphyacanthida_X"	"Arthracanthida-Symphyacanthida_XX"	"Arthracanthida-Symphyacanthida_XX_sp"
"ep_ASV_00121"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-II"	"Syndiniales-Group-II-Clade-10-and-11"	"Syndiniales-Group-II-Clade-10-and-11_X"	"Syndiniales-Group-II-Clade-10-and-11_X_sp"
"ep_ASV_00582"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Dinophyceae_X"	"Dinophyceae_XX"	"Dinophyceae_XXX"	"Dinophyceae_XXX_sp"
"bn_ASV_000474"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Cryomorphaceae"	"Cryomorphaceae_X"	"uncultured_bacterium"
"ep_ASV_00216"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Strombidiida"	"Strombidiidae"	"Strombidiidae_X"	"Strombidiidae_X_sp"
"ep_ASV_00651"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Litostomatea"	"Cyclotrichia"	"Cyclotrichia_X"	"Cyclotrichia_XX"	"Cyclotrichia_XX_sp"
"bp_ASV_000183"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacteriaceae_NS4"	"uncultured_marine_bacterium"
"bp_ASV_000197"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria_SAR86"	"Gammaproteobacteria_SAR86"	"Gammaproteobacteria_SAR86"	"uncultured_bacterium"
"ep_ASV_00087"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-I"	"Syndiniales-Group-I-Clade-4"	"Syndiniales-Group-I-Clade-4_X"	"Syndiniales-Group-I-Clade-4_X_sp"
"bp_ASV_000120"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Tateyamaria"	"uncultured_marine_bacterium"
"bp_ASV_000194"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Puniceispirillales"	"Puniceispirillales_SAR116"	"Puniceispirillales_SAR116"	"uncultured_marine_bacterium"
"bp_ASV_000454"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Methylophilaceae"	"Methylophilaceae_OM43"	"marine_metagenome"
"ep_ASV_00021"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-II"	"Syndiniales-Group-II-Clade-16"	"Syndiniales-Group-II-Clade-16_X"	"Syndiniales-Group-II-Clade-16_X_sp"
"ep_ASV_00238"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Dinophyceae_X"	"Dinophyceae_XX"	"Dinophyceae_XXX"	"Dinophyceae_XXX_sp"
"bn_ASV_000135"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Pseudohongiellaceae"	"Pseudohongiella"	"uncultured_marine_bacterium"
"bn_ASV_000191"	"Bacteria"	"Actinobacteria"	"Actinobacteria_X"	"Actinobacteria_X"	"Propionibacteriales"	"Nocardioidaceae"	"Nocardioides"	"Nocardioides_sp._REDSEA-S34_B5"
"bn_ASV_000217"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriales_NS9"	"Flavobacteriales_NS9"	"uncultured_Flavobacteriales_bacterium"
"ep_ASV_00264"	"Eukaryota"	"Stramenopiles"	"Ochrophyta"	"Bacillariophyta"	"Bacillariophyta_X"	"Raphid-pennate"	"Raphid-pennate_X"	"Raphid-pennate_X_sp"
"bn_ASV_000181"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11"	"SAR11_Clade_I"	"SAR11_Clade_Ia"	"uncultured_bacterium"
"bn_ASV_000341"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacteriaceae_NS5"	"uncultured_marine_bacterium"
"bp_ASV_000361"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Cryomorphaceae"	"Cryomorphaceae_X"	"uncultured_marine_bacterium"
"bn_ASV_000118"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobia"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Verrucomicrobiales_DEV007"	"Verrucomicrobiales_DEV007"	"uncultured_bacterium"
"bn_ASV_000162"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Hyphomonadaceae"	"Hyphomonadaceae_X"	"uncultured_bacterium"
"bn_ASV_000378"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobia"	"Verrucomicrobiae"	"Verrucomicrobiae_Arctic97B-4"	"Verrucomicrobiae_Arctic97B-4"	"Verrucomicrobiae_Arctic97B-4"	"uncultured_bacterium"
"bp_ASV_000196"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriales_NS9"	"Flavobacteriales_NS9"	"uncultured_marine_bacterium"
"ep_ASV_00286"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-III"	"Syndiniales-Group-III_X"	"Syndiniales-Group-III_XX"	"Syndiniales-Group-III_XX_sp"
"bp_ASV_000329"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacteriaceae_NS5"	"uncultured_marine_bacterium"
"en_ASV_01073"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Tintinnida"	"Tintinnidae"	"Tintinnidae_X"	"Tintinnidae_X_sp"
"ep_ASV_00157"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-I"	"Syndiniales-Group-I-Clade-1"	"Syndiniales-Group-I-Clade-1_X"	"Syndiniales-Group-I-Clade-1_X_sp"
"ep_ASV_00290"	"Eukaryota"	"Stramenopiles"	"Stramenopiles_X"	"Labyrinthulea"	"Thraustochytriales"	"Thraustochytriaceae"	"Thraustochytriaceae_X"	"Thraustochytriaceae_X_sp"
"ep_ASV_00415"	"Eukaryota"	"Stramenopiles"	"Stramenopiles_X"	"MAST"	"MAST-3"	"MAST-3G"	"MAST-3G_X"	"MAST-3G_X_sp"
"ep_ASV_00480"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-II"	"Syndiniales-Group-II-Clade-13"	"Syndiniales-Group-II-Clade-13_X"	"Syndiniales-Group-II-Clade-13_X_sp"
"ep_ASV_00441"	"Eukaryota"	"Stramenopiles"	"Stramenopiles_X"	"MAST"	"MAST-8"	"MAST-8B"	"MAST-8B_X"	"MAST-8B_X_sp"
"bn_ASV_000398"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Steroidobacterales"	"Woeseiaceae"	"Woeseia"	"uncultured_bacterium"
"en_ASV_01382"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-I"	"Syndiniales-Group-I-Clade-1"	"Syndiniales-Group-I-Clade-1_X"	"Syndiniales-Group-I-Clade-1_X_sp"
"ep_ASV_00646"	"Eukaryota"	"Stramenopiles"	"Ochrophyta"	"Pelagophyceae"	"Pelagomonadales"	"Pelagomonadaceae"	"Pelagomonadaceae_clade_A"	"Pelagomonadaceae_clade_A_sp"
"en_ASV_00403"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-II"	"Syndiniales-Group-II-Clade-16"	"Syndiniales-Group-II-Clade-16_X"	"Syndiniales-Group-II-Clade-16_X_sp"
"bp_ASV_000402"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria_SAR86"	"Gammaproteobacteria_SAR86"	"Gammaproteobacteria_SAR86"	"uncultured_marine_bacterium"
"ep_ASV_00246"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Dinophyceae_X"	"Dinophyceae_XX"	"Dinophyceae_XXX"	"Dinophyceae_XXX_sp"
"ep_ASV_00269"	"Eukaryota"	"Stramenopiles"	"Ochrophyta"	"Chrysophyceae"	"Chrysophyceae_X"	"Chrysophyceae_Clade-I"	"Chrysophyceae_Clade-I_X"	"Chrysophyceae_Clade-I_X_sp"
"bn_ASV_000540"	"Bacteria"	"Planctomycetes"	"Planctomycetes"	"Planctomycetacia"	"Pirellulales"	"Pirellulaceae"	"Blastopirellula"	"uncultured_planctomycete_8FN"
"bp_ASV_000067"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobia"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Verrucomicrobiales_DEV007"	"Verrucomicrobiales_DEV007"	"uncultured_bacterium"
"en_ASV_01056"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Strombidiida"	"Tontoniidae_B"	"Pseudotontonia"	"Pseudotontonia_sp"
"bp_ASV_000367"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes"	"Bacteroidia"	"Cytophagales"	"Cyclobacteriaceae"	"Marinoscillum"	"marine_metagenome"
"en_ASV_00594"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Peridiniales"	"Podolampadaceae"	"Lessardia"	"Lessardia_elongata"
"ep_ASV_00222"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-II"	"Syndiniales-Group-II-Clade-16"	"Syndiniales-Group-II-Clade-16_X"	"Syndiniales-Group-II-Clade-16_X_sp"
"ep_ASV_00278"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-II"	"Syndiniales-Group-II-Clade-3"	"Syndiniales-Group-II-Clade-3_X"	"Syndiniales-Group-II-Clade-3_X_sp"
"en_ASV_01364"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-I"	"Syndiniales-Group-I-Clade-4"	"Syndiniales-Group-I-Clade-4_X"	"Syndiniales-Group-I-Clade-4_X_sp"
"ep_ASV_00401"	"Eukaryota"	"Stramenopiles"	"Ochrophyta"	"Dictyochophyceae"	"Dictyochophyceae_X"	"Dictyochales"	"Dictyochales_X"	"Dictyochales_X_sp"
"ep_ASV_00564"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Dinophyceae_X"	"Dinophyceae_XX"	"Dinophyceae_XXX"	"Dinophyceae_XXX_sp"
"bp_ASV_000470"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Rhodospirillales_AEGEAN-169"	"Rhodospirillales_AEGEAN-169"	"uncultured_marine_bacterium"
"en_ASV_00684"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-II"	"Syndiniales-Group-II-Clade-16"	"Syndiniales-Group-II-Clade-16_X"	"Syndiniales-Group-II-Clade-16_X_sp"
"bn_ASV_000367"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes"	"Bacteroidia"	"Cytophagales"	"Cyclobacteriaceae"	"Marinoscillum"	"marine_metagenome"
"en_ASV_00848"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-I"	"Syndiniales-Group-I-Clade-1"	"Syndiniales-Group-I-Clade-1_X"	"Syndiniales-Group-I-Clade-1_X_sp"
"en_ASV_01176"	"Eukaryota"	"Archaeplastida"	"Chlorophyta"	"Pyramimonadales"	"Pyramimonadales_X"	"Pyramimonadales_XX"	"Pyramimonas"	"Pyramimonas_sp"
"ep_ASV_00306"	"Eukaryota"	"Stramenopiles"	"Stramenopiles_X"	"MAST"	"MAST-7"	"MAST-7B"	"MAST-7B_X"	"MAST-7B_X_sp"
"ep_ASV_00345"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Syndiniales-Group-I"	"Syndiniales-Group-I-Clade-5"	"Syndiniales-Group-I-Clade-5_X"	"Syndiniales-Group-I-Clade-5_X_sp"
"bn_ASV_000126"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Hyphomonadaceae"	"Hyphomonas"	"Hyphomonas_sp._L-53-1-40"
"bn_ASV_000511"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Nitrosomonadaceae"	"IS-44"	"uncultured_bacterium"
"bn_ASV_000406"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Parvibaculales"	"Parvibaculaceae"	"Parvibaculaceae_X"	"uncultured_alpha_proteobacterium"
"en_ASV_01365"	"Eukaryota"	"Hacrobia"	"Katablepharidophyta"	"Katablepharidaceae"	"Katablepharidales"	"Katablepharidales_X"	"Katablepharidales_XX"	"Katablepharidales_XX_sp"
"bn_ASV_000473"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Cellvibrionales"	"Halieaceae"	"Halieaceae_OM60"	"uncultured_bacterium"
"en_ASV_00310"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Dinophyceae_X"	"Tovelliaceae"	"Woloszynskia"	"Woloszynskia_sp"
"bp_ASV_000222"	"Bacteria"	"Proteobacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Rhodospirillales_AEGEAN-169"	"Rhodospirillales_AEGEAN-169"	"uncultured_bacterium"
"en_ASV_01121"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Dinophyceae_X"	"Dinophyceae_XX"	"Dinophyceae_XXX"	"Dinophyceae_XXX_sp"
"ep_ASV_00142"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Suessiales"	"Suessiaceae"	"Biecheleria"	"Biecheleria_tirezensis"
"ep_ASV_00305"	"Eukaryota"	"Stramenopiles"	"Stramenopiles_X"	"MAST"	"MAST-7"	"MAST-7A"	"MAST-7A_X"	"MAST-7A_X_sp"
