ID	M1	D1	D2	DR1	D3	DR2	DR3	D4	D5	R2	R3	M2	DR4	R4	DR5	DR6	D6	D7	DR7	M3	R5	M5	M6	R6	D8	R7	M7	M8	R8
316	0	0	0.001436813	0.000705676	0	0	0	0.000689299	0.001205541	0	0	0	0	0	0.001568468	0	0	0	0	0	0	0	0	0.000674109	0.000373201	0	0	0	0
317	0.00669241	0.0175089	0.005028844	0.005645412	0.003959455	0.002681382	0.013930946	0.000689299	0.010046172	0.001244338	0.00283849	0.003425244	0.004552366	0.00720487	0.007842338	0.003577997	0.005437949	0.007047758	0.005392919	0.00386011	0.002474513	0.005677689	0.004697325	0.004718762	0.007837225	0.004030227	0.001698398	0.001654096	0.004650658
318	0.00669241	0.006670057	0.002873625	0.004234059	0.003959455	0.003217659	0.01429755	0.000689299	0.003214775	0.001244338	0.00283849	0.004281555	0.004552366	0.001801218	0.005489636	0.005009195	0.004661099	0.001922116	0.005392919	0.001930055	0.004949025	0.005677689	0.004026278	0.008089306	0.004105213	0.004534005	0.003396797	0.013232764	0.001550219
319	0.000669241	0	0.000718406	0.000705676	0.001979728	0	0	0.000689299	0.000401847	0.001244338	0	0	0.000910473	0.000900609	0	0.000715599	0.00077685	0.000640705	0	0	0	0	0.002013139	0.001348218	0	0.000503778	0	0	0
320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000503778	0	0	0
321	0.001338482	0	0.001436813	0	0	0.000536276	0.001466415	0	0	0	0	0	0	0	0	0	0	0	0	0.000965027	0	0	0	0.000674109	0	0.000503778	0	0	0
322	0.020746471	0.038352829	0.023707407	0.0119965	0.013858093	0.011798081	0.049124917	0.007582285	0.034960679	0.018665074	0.010407796	0.012844665	0.014567571	0.019813394	0.023527013	0.018605583	0.025636046	0.019861864	0.025166956	0.016405466	0.009073213	0.014761991	0.024828715	0.026964353	0.018286857	0.017632242	0.016983984	0.01488686	0.018602632
323	0	0.001667514	0	0	0	0	0	0	0.000401847	0	0	0.001712622	0	0	0.000784234	0	0	0.001281411	0.00089882	0	0	0	0	0.000674109	0.000373201	0	0.003396797	0	0
324	0.004015446	0.007503814	0.004310438	0.006351088	0.003959455	0.001608829	0.005865662	0.001378597	0.004822163	0.002488677	0.000946163	0.000856311	0.003641893	0.001801218	0.007058104	0.002862397	0.0015537	0.002562821	0.006291739	0	0.00329935	0.002838844	0.00738151	0.003370544	0.003358811	0.004534005	0.006793594	0.001654096	0.005425768
325	0	0	0	0	0	0	0.000366604	0.000689299	0	0	0	0	0	0	0	0	0	0	0	0	0.000824838	0	0	0	0	0	0.001698398	0	0
326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000674109	0	0	0	0	0
327	0	0	0	0	0.001979728	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00089882	0	0	0	0	0	0.000373201	0	0	0	0
328	0.000669241	0	0.000718406	0	0	0	0	0	0	0	0	0	0.000910473	0	0	0	0	0	0	0.000965027	0.000824838	0	0	0	0	0	0	0.001654096	0
329	0.000669241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000824838	0	0	0	0	0	0	0	0
330	0.000669241	0	0.001436813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00089882	0.000965027	0.000824838	0	0	0	0	0	0	0	0
331	0.114440213	0.331001592	0.147991695	0.146780704	0.122743111	0.127097511	0.298048934	0.079269343	0.183242181	0.070927281	0.091777841	0.08477479	0.11471962	0.131488886	0.165473324	0.117358293	0.191105069	0.114686247	0.193246268	0.098432795	0.076709888	0.200990189	0.232853088	0.086960039	0.140696841	0.120403023	0.083221522	0.196837369	0.14494551
332	0.003346205	0.001667514	0.002873625	0.004939735	0.003959455	0.003753935	0.017230381	0.001378597	0.001607388	0.003733015	0.00283849	0.001712622	0.005462839	0.000900609	0.007058104	0.002146798	0.006991649	0.005125642	0.011684658	0.000965027	0.001649675	0.007948765	0.002013139	0.001348218	0.003358811	0.004030227	0.005095195	0.008270478	0
333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000373201	0	0	0	0
334	0.005353928	0.012506357	0.010057688	0.004939735	0.009898638	0.005899041	0.01429755	0.005514389	0.010046172	0.00746603	0.00567698	0.003425244	0.005462839	0.00720487	0.009410805	0.005009195	0.003884249	0.005125642	0.010785838	0.00386011	0.002474513	0.006245458	0.009394649	0.003370544	0.006717621	0.005541562	0.011888789	0.001654096	0.002325329
335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000373201	0	0	0.001654096	0
336	0	0	0	0	0	0	0	0	0	0	0	0.000856311	0	0	0	0	0.00077685	0	0	0	0	0	0	0	0	0	0	0.001654096	0
337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000373201	0	0	0	0
338	0.001338482	0	0	0	0	0.000536276	0.001466415	0	0.000803694	0	0	0.000856311	0	0	0	0	0.00077685	0	0.003595279	0.000965027	0	0.001135538	0.000671046	0.000674109	0.000746402	0.000503778	0	0	0.00077511
339	0.000669241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000640705	0	0	0	0	0	0	0	0	0	0	0
340	0	0	0.000718406	0	0.001979728	0	0.000366604	0	0	0	0	0	0	0	0	0.000715599	0	0	0	0	0.000824838	0	0	0.000674109	0	0	0	0	0
341	0.006023169	0.015007629	0.005028844	0.008468118	0.005939183	0.009652976	0.021629627	0.007582285	0.015270182	0.009954706	0.007569306	0.004281555	0.009104732	0.011707915	0.01254774	0.005009195	0.009322198	0.005766348	0.015279937	0.004825137	0.0065987	0.013626453	0.012078835	0.006066979	0.010449633	0.009571788	0.008491992	0.009924573	0.007751097
342	0	0	0.000718406	0	0	0.000536276	0	0.001378597	0.000401847	0.001244338	0	0.000856311	0.00273142	0.000900609	0	0	0	0	0	0	0	0	0	0	0.000373201	0	0.001698398	0	0
343	0	0.001667514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000567769	0	0	0.000373201	0	0	0	0
344	0.000669241	0.003335029	0.000718406	0	0	0	0.000733208	0.000689299	0.001205541	0	0	0.000856311	0.000910473	0	0	0.000715599	0	0.000640705	0	0	0	0	0	0	0.000373201	0.001007557	0	0	0
345	0.012046338	0.022511443	0.013649719	0.00987947	0.009898638	0.006435317	0.029694912	0.004135792	0.01165356	0.003733015	0.00851547	0.005994177	0.011836151	0.014409741	0.020390078	0.01073399	0.013206448	0.005766348	0.014381118	0.008685247	0.009073213	0.010787609	0.018118252	0.004718762	0.008956828	0.011083123	0.005095195	0.018195051	0.006200877
346	0	0	0	0	0	0	0.000366604	0	0	0	0	0	0	0	0	0	0	0	0	0.000965027	0	0	0	0	0	0.000503778	0	0.001654096	0
347	0	0	0	0	0	0	0	0.000689299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
348	0.001338482	0	0	0	0	0	0	0	0	0	0	0.000856311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
349	0.002007723	0.000833757	0.000718406	0.000705676	0	0.004290211	0.002566227	0.003446493	0.001205541	0.004977353	0.003784653	0.000856311	0.000910473	0.000900609	0.001568468	0.000715599	0.00233055	0	0	0.000965027	0.002474513	0.002271076	0	0.000674109	0.003732012	0.001007557	0.003396797	0	0.001550219
350	0.020746471	0.051692944	0.030173064	0.015524882	0.013858093	0.019842227	0.063789071	0.009650181	0.027727435	0.00746603	0.006623143	0.009419421	0.012746624	0.018012176	0.030585117	0.015027586	0.019421247	0.009610579	0.042244533	0.019300548	0.0131974	0.038608285	0.02952604	0.022245591	0.041052129	0.019143577	0.008491992	0.034736006	0.019377742
351	0.000669241	0.001667514	0.000718406	0.001411353	0	0	0.000366604	0.000689299	0.000803694	0	0.000946163	0	0.000910473	0	0.001568468	0	0	0.000640705	0.00089882	0	0	0	0	0	0.002239207	0	0	0.004962287	0.00077511
352	0	0	0	0	0	0.001072553	0.000366604	0	0.000401847	0	0.000946163	0	0	0.001801218	0	0	0	0	0.00179764	0	0	0.000567769	0	0.000674109	0	0	0.001698398	0	0.00077511
353	0.007361651	0.000833757	0.002873625	0.004234059	0.001979728	0.003753935	0.00476585	0.002067896	0.003214775	0.003733015	0.00283849	0.000856311	0.007283785	0.009906697	0.00627387	0.000715599	0.003107399	0.002562821	0.009887018	0.004825137	0.005773863	0.005677689	0.002684185	0.001348218	0.004851615	0.00302267	0.005095195	0.008270478	0
354	0.01338482	0.010005086	0.010776094	0.014819206	0.009898638	0.004826488	0.008798493	0.014475271	0.008036938	0.014932059	0.013246286	0.009419421	0.013657098	0.010807306	0.011763506	0.008587192	0.004661099	0.005125642	0.016178757	0.017370493	0.017321588	0.007948765	0.004026278	0.007415197	0.007090822	0.008060453	0.011888789	0.021503242	0.012401755
355	0.696679895	0.571123655	0.559638498	0.52643464	0.562242635	0.464951655	0.645222785	0.388075134	0.564193031	0.434274053	0.441858265	0.493235143	0.458878479	0.45480745	0.567785245	0.603250252	0.705379685	0.699650175	0.498845016	0.422682004	0.359629153	0.459325036	0.66232276	0.583778245	0.64078641	0.477078086	0.456869172	0.430064841	0.386779729
356	0.002676964	0.003335029	0.002873625	0.001411353	0.001979728	0.003217659	0.000733208	0.00482509	0	0.001244338	0.001892327	0.000856311	0.000910473	0.002701826	0.002352701	0.001431199	0.00077685	0	0.00089882	0.001930055	0.002474513	0.001703307	0.000671046	0	0.001119604	0.001511335	0.001698398	0.001654096	0.001550219
357	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003602435	0	0	0	0	0	0	0	0	0	0.000674109	0	0	0	0	0
