"amendment"	"Soil_type"	"Treatment"	"Time"	"CO2flux"	"N2Oflux"	"CH4flux"	"NO3"	"NH4"	"TotalCadded"	"TotalNadded"	"pH"	"OM"	"gravimetricSM"	"nosZII"	"nosZI"	"fnirk"	"nirK"	"nirS"	"aoa"	"aob"	"pmoa"	"mcra"	"nifH"	"plant_heights"	"plant_leveas"	"plant_weight"
"X65dclayMFP2"	"MF"	"clay"	"wheat"	65	-0.557660175	0.042936323	-0.076926162	24.13	32.38	NA	NA	7.75	2.84	24.04779686	4.06576233	0.952873119	2.40073921	2.362239562	5.797376231	2.96657681	1.700247989	1.483814575	1.430625991	2.674035611	31.125	24.25	14.9
"X65dclayMFP3"	"MF"	"clay"	"wheat"	65	-0.483926185	0.076555142	0.026716446	0.91	1.75	NA	NA	7.75	2.84	24.92537313	3.790513657	0.984698929	1.36908633	1.894533827	3.605629144	1.409986909	0.983320241	1.130430327	1.232338959	1.874980471	33.375	31.75	18.29
"X65dclaycontrol2"	"control65"	"clay"	"No_plant"	65	-0.368059916	0.019103034	-0.093450057	15.45	1.6	NA	NA	7.68	2.52	28.53965901	2.420986853	1.51438765	2.960389612	1.456006576	2.365282473	4.603979799	1.150835321	1.524473439	1.64865534	1.624194969	NA	NA	NA
"X65dsandDC4"	"DC"	"sandy"	"No_plant"	65	-0.073801993	0.028591547	-0.123396677	16.31	2.68	NA	NA	5.96	5.28	15.90551181	1.011167481	25.08181814	0.240226714	1.1364381	0.486680749	0.625964595	0.625651379	12.65432775	29.9509042	0.873122369	NA	NA	NA
"X65dsandCCfebP3"	"Ccfeb"	"sandy"	"wheat"	65	-0.36092953	0.014507785	-0.031437701	0.98	0.87	NA	NA	5.72	4.92	5.597964377	1.48147193	13.41382413	0.640940689	4.315002101	0.581734237	0.812738092	2.014031332	5.019372817	1.933102794	2.161418709	36.125	49.25	23.06
"X65dsandMFP1"	"MF"	"sandy"	"wheat"	65	-0.250753568	0.006086329	-0.024296315	9.3	13.75	NA	NA	5.68	4.6	6.566037736	1.462283068	5.615093849	0.39950883	2.18576569	0.401344253	0.944359351	0.82032538	1.141676772	1.880993285	1.336299303	34.75	36.5	19.75
"X65dsandcontrol3"	"control65"	"sandy"	"No_plant"	65	-0.085121606	0.015650847	-0.04416239	6.26	1	NA	NA	5.71	4.65	15.11627907	0.360596132	0.327695632	0.167638575	1.733629761	0	0.799413354	0.637517504	0.776860473	3.118594255	0.94096947	NA	NA	NA
"X65dclayDC4"	"DC"	"clay"	"No_plant"	65	-0.318017208	0.080517357	-0.173789404	12.62	0.71	NA	NA	7.52	3.67	28.83323152	2.479629804	2.289444487	1.232660656	1.983890741	1.286985254	1.673818548	1.170775765	3.555039873	4.377636586	2.428760624	NA	NA	NA
"X65dclaySC4"	"SC"	"clay"	"No_plant"	65	-0.24894347	0.081980436	-0.185950062	28.2	1.5	NA	NA	7.51	2.98	27.06393544	4.018596793	1.253326723	2.166241292	2.078552392	4.700640256	2.485942207	2.705759141	2.914324486	4.411355544	2.722204531	NA	NA	NA
"X65dclayCCnov2"	"Ccnov"	"clay"	"No_plant"	65	-0.057157093	0.141787672	-0.072195907	171.96	1.86	NA	NA	7.55	3.83	29.48016416	4.640582892	1.571808782	3.978864747	4.979205856	2.992490927	2.755576805	2.532867218	2.491009281	1.527117517	4.040932048	NA	NA	NA
"X65dclayCCnov4"	"Ccnov"	"clay"	"No_plant"	65	-0.107215801	0.018443998	-0.058255152	414.05	1.66	NA	NA	7.48	3.66	26.87861272	4.303303643	0.98843135	3.370420447	4.506620136	2.952947125	2.748378132	3.369406674	2.931498186	1.513279468	4.124473402	NA	NA	NA
"X65dclayCCfeb3"	"Ccfeb"	"clay"	"No_plant"	65	-0.133637231	0.199890816	-0.107805833	113.62	1.55	NA	NA	7.51	3.79	27.66393443	5.699947429	2.732301186	2.795014358	4.768408722	4.149063186	3.706416091	3.252942011	2.956640839	1.601153349	3.949652248	NA	NA	NA
"X65dclayDCP3"	"DC"	"clay"	"wheat"	65	-0.474235661	0.000299516	-0.14138765	0.31	1.57	NA	NA	7.55	4.1	27.32707088	4.054993716	1.075004372	1.871193298	1.937893095	2.089927748	0.883268187	1.293514065	4.708980405	3.156010531	2.433306494	32.75	27	16.07
"X65dclayDCP4"	"DC"	"clay"	"wheat"	65	-0.515937917	-0.002464633	-0.153458304	0.27	1.46	NA	NA	7.45	3.84	25.15991471	3.720035094	1.251281843	2.653692022	1.736491531	3.135386485	1.796520351	1.282224225	2.828712092	2.21074169	2.40405371	33.25	26	15.1
"X65dclaySCP3"	"SC"	"clay"	"wheat"	65	-0.462655034	-0.20108088	-0.175769511	0.28	2.55	NA	NA	7.57	3.44	22.55845942	4.9640539	1.109935622	1.535839217	5.215547233	5.027010306	3.324581498	2.199981517	3.591698386	3.759894887	4.285865835	39.75	36.75	18.23
"X65dclaySCP4"	"SC"	"clay"	"wheat"	65	-0.403451831	-0.033427809	-0.099322374	0.53	1.75	NA	NA	7.52	3.39	24.19227738	5.910541978	1.47944201	1.336380617	4.242197226	2.619368356	2.753513103	2.090923396	5.090838302	3.839377846	3.282670041	38.375	30.5	16.98
"X65dclayCCnovP1"	"Ccnov"	"clay"	"wheat"	65	-0.245833302	-0.019549058	-0.10367561	0.19	1.84	NA	NA	7.52	3.6	19.29674099	7.685437542	1.525477493	2.484110334	4.471540402	2.511874472	2.368850311	2.454007146	3.455319113	1.57627958	3.54252506	37.75	48.5	25.41
"X65dclayCCnovP3"	"Ccnov"	"clay"	"wheat"	65	-0.335898175	0.048531626	-0.141977682	0.2	2.14	NA	NA	7.55	3.45	15.40084388	7.113708821	1.696650479	5.308486146	2.583295386	2.933477346	2.456663056	1.83525855	2.80794433	1.583775884	3.640977538	42.125	50.75	32.2
"X65dclayCCnovP4"	"Ccnov"	"clay"	"wheat"	65	-0.33412808	-0.014392779	-0.117106337	0.2	2.17	NA	NA	7.57	3.74	17.23577236	6.585796522	1.434204033	2.390011418	3.028864658	4.524151339	2.064910286	2.550385853	2.208895996	1.475207065	4.479577509	38.875	52.75	31.37
"X65dclayCCfebP2"	"Ccfeb"	"clay"	"wheat"	65	-0.46239502	0.082204448	-0.067286641	0.38	2.01	NA	NA	7.62	3.55	18.50424056	7.779723123	2.814344338	3.148292657	6.145766282	5.952138526	3.087054325	3.296274057	2.108220752	2.049334772	3.518479052	35.5	52.5	26.79
"X65dclayCCfebP4"	"Ccfeb"	"clay"	"wheat"	65	-0.442453941	0.040123171	-0.177989631	0.42	1.78	NA	NA	7.62	3.19	19.89361702	7.254549293	1.453392531	2.152141106	4.565117354	7.212242112	3.061737936	2.925745897	2.666129906	1.948551973	3.799610647	33.875	33.5	20.07
"X65dclayMFP1"	"MF"	"clay"	"wheat"	65	-0.203921034	-0.001637189	-0.147577985	0.63	2.47	NA	NA	7.61	3.05	21.03477523	4.282344525	0.862127754	2.073264547	4.644446807	4.68470161	1.842487686	1.701849381	1.500626826	1.235892895	2.374669093	37.375	31.25	19.57
"X65dclayMFP4"	"MF"	"clay"	"wheat"	65	-0.42357292	0.011685632	-0.073592982	5.06	3.13	NA	NA	7.72	3.35	23.54456466	3.89519051	1.206515204	1.359768269	1.430993837	2.300261303	1.520196589	1.056618806	1.5302277	1.074774387	1.39602251	35.375	30.5	19.62
"X65dclaycontrol1"	"control65"	"clay"	"No_plant"	65	-0.120976546	-0.073808994	-0.122876649	17.49	1.69	NA	NA	7.67	2.46	29.14572864	2.706259378	1.572215781	2.498258032	0.827045097	3.591192552	3.796925034	0.830498148	0.270659188	1.671253955	1.361342469	NA	NA	NA
"X65dclaycontrol3"	"control65"	"clay"	"No_plant"	65	-0.384860825	-0.026814451	-0.084476571	10.34	1.37	NA	NA	7.68	2.62	27.91327913	2.158608849	1.340265171	1.399310649	1.532201317	2.015361066	4.223263131	1.075036071	1.882226291	1.602248318	1.719507392	NA	NA	NA
"X65dclaycontrol4"	"control65"	"clay"	"No_plant"	65	-0.23397266	0.021749177	-0.118446409	23.81	3.26	NA	NA	7.65	2.47	28.42465753	3.121027076	2.467223064	1.616722485	2.186934257	1.752189095	3.834831954	1.105581043	1.320295479	1.516336408	1.675555521	NA	NA	NA
"X65dsandDC3"	"DC"	"sandy"	"No_plant"	65	-0.088480788	0.033378806	-0.108545873	15.19	0.44	NA	NA	5.73	4.93	14.14662085	0.930558362	11.54419931	0.174390611	1.149522133	0.490403636	0.49632396	0.362233207	5.219046246	24.30610241	0.93904219	NA	NA	NA
"X65dsandSC4"	"SC"	"sandy"	"No_plant"	65	-0.041346237	0.050112712	-0.096249208	12.45	6.04	NA	NA	5.21	4.87	14.26692965	2.803584696	15.80644171	0.795734273	3.965220418	0.917801881	0.529808793	2.80888446	29.50683499	83.10314717	1.404106415	NA	NA	NA
"X65dsandCCnovP4"	"Ccnov"	"sandy"	"wheat"	65	-0.34299856	0.066483597	-0.073675987	0.11	1.17	NA	NA	5.99	4.65	3.866317169	3.095434697	13.72936855	1.108800041	6.078962504	0.225275253	0.444744073	1.959419372	6.510524314	1.707278661	2.451881785	38.5	64	21.55
